2015-12-24,Christmas Eve
2015-12-25,Christmas
2016-01-01,New Years Day
2016-02-15,Presidents Day
2016-05-30,Memorial Day
2016-09-05,Labor Day
2016-12-24,Christmas Eve
2016-12-16,Christmas (Observed)
