0
4887	1481097	32	2015-10-31 12:00:05	63	C	3126	5
5544	1446028	45	2015-10-31 12:00:05	0	C	8580	125
5580	1365886	12	2015-10-31 12:00:05	62	C	4902	-55
5600	1295458	12	2015-10-31 12:00:05	62	C	6938	1205
5819	1365941	5	2015-10-31 12:00:05	126	C	7818	185
6689	1419734	45	2015-10-31 12:00:05	0	C	8055	425
7129	1221166	41	2015-10-31 12:00:05	0	C	567	125
7136	1221202	33	2015-10-31 12:00:05	63	C	4538	65
7201	1281915	22	2015-10-31 12:00:05	0	C	3048	-55
7234	1281887	35	2015-10-31 12:00:05	64	C	3562	185
7281	1264838	10	2015-10-31 12:00:05	63	C	13497	-55
